,reform,district,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
0,All Children 100,Maryland,-9.8,-20.7,-20.1,-7.4,-19.1,-23.7,6319406.000000001,1390540.0,376011.0,12.544612579093666,14.826470292116731,15.847940618758493,11.30981297925786,11.7528442187927,12.65601272303204,4.102490012510669,3.830885842909949,3.5501620963216505,3.799676741769716,3.0993714671997927,2.710027100271003
1,All Children 100,036,-4.1,-10.9,0.0,0.0,0.0,0.0,137998.50638469058,27920.790532813553,6638.590173752445,8.983726420072358,7.038024547746289,4.816016154913435,8.619841056680592,6.271484477792175,4.816016154913435,2.685236008596517,1.8274590320004231,0.36478072265690825,2.685236008596517,1.8274590320004231,0.36478072265690825
2,All Children 100,037,-4.6,-13.5,-15.0,-6.9,-20.9,-40.8,131847.5727120465,26621.154768906068,6302.777533124193,9.885305409837956,8.952350118263244,6.496865305783252,9.432206426340585,7.744219405511567,5.5245666104428635,3.7962840579996397,3.666915913050692,2.2207048711694357,3.535235956602111,2.9006346534999077,1.3150019768797585
3,All Children 100,ZZZ,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
4,All Children 100,021,-9.5,-21.5,-9.6,-3.6,-14.4,-20.1,136305.6112242434,30624.509722630184,10004.392169817478,13.093740545616795,15.444562895545555,20.46799044509867,11.848692810305621,12.12655916152614,18.502575133384664,4.092506084165775,2.70374872481888,3.0523787229626995,3.9449859334083355,2.3153418761233047,2.4380854497656816
5,All Children 100,022,-18.2,-34.8,-29.4,-3.0,-7.1,-6.8,136174.3900377187,33567.93836029987,11379.632850923492,17.814388636980187,24.96280609540175,23.77441546537184,14.571663417468292,16.265415238083317,16.77834827965738,4.470975660002567,4.524786768420794,6.205397071608618,4.338348806320885,4.20392584145089,5.785110631913602
6,All Children 100,023,-28.6,-65.4,-13.1,0.0,0.0,0.0,133548.15767913003,27862.335125054648,6988.339586682655,8.282066474290678,13.204033501749022,9.534591348313306,5.909891613873371,4.569102512024608,8.289597634383094,2.0635405268522296,0.6254186364870884,0.5373660071445382,2.0635405268522296,0.6254186364870884,0.5373660071445382
7,All Children 100,024,-28.9,-53.9,-49.9,-5.6,-38.7,0.0,130034.15953075975,28421.306083763156,7178.431535745822,15.421856382161264,24.75312731183137,20.25789127487453,10.971675324289519,11.413972429038658,10.147408730870437,2.822997688330879,1.166093394702183,0.4951153728424558,2.6659790280951317,0.7152023501223943,0.4951153728424558
8,All Children 100,004,-5.2,-11.7,-4.2,-6.9,-20.4,-1.7,148118.0657334245,34677.09076351521,8386.161595880963,8.843172969710372,7.88182468511217,10.268198234722584,8.384864354497045,6.959742006082156,9.834487878896958,2.628107120128972,2.6038377290491024,2.6143051178832453,2.447513756877921,2.0729135615236287,2.5700883109405144
9,All Children 100,005,-13.9,-32.3,-48.7,-7.8,-24.7,-48.0,137093.76127801463,28591.27074882543,6856.070026504057,6.907327344817545,7.655746509129966,6.304591265397537,5.945767343921506,5.1825993555316865,3.2362821948488247,2.1387289711251984,2.156283566058002,1.1422172452407615,1.9718420286283906,1.6245972073039743,0.5935050391937291
